"#","Keyword (type this in the app)","Different shapes in pool","Generates 101 mazes with no repeats","Other words that also work"
"1","accessories","109","YES","accessory"
"2","amphibians","142","YES","amphibian"
"3","appliances","167","YES","appliance"
"4","arachnids","106","YES",""
"5","arctic","813","YES","arctic animals, polar"
"6","astronomy","127","YES",""
"7","athletics","106","YES",""
"8","autumn","1124","YES","fall"
"9","bakery","180","YES","bread, breads, pastries, pastry"
"10","ballsports","106","YES",""
"11","bathroom","167","YES",""
"12","beach","339","YES",""
"13","bears","813","YES","bear"
"14","bedroom","167","YES",""
"15","beetles","106","YES",""
"16","bigcats","108","YES","big cat, big cats, felines"
"17","bikes","125","YES","bicycles, bike"
"18","birdsofprey","114","YES","birds of prey, raptors"
"19","birthday","299","YES","birthdays, party"
"20","boardgames","111","YES","board games, game, games"
"21","boats","125","YES","boat, ship, ships"
"22","bottoms","109","YES",""
"23","brass","115","YES",""
"24","breakfast","180","YES","brunch"
"25","butterflies","106","YES",""
"26","cacti","127","YES",""
"27","camping","1040","YES","outdoor, outdoors"
"28","candies","180","YES","candy"
"29","cars","125","YES","car"
"30","cats","108","YES","cat, kitten, kitty"
"31","celestial","127","YES","galaxy"
"32","cephalopods","107","YES",""
"33","christmas","1441","YES","holiday, xmas"
"34","circus","344","YES",""
"35","cleaning","167","YES",""
"36","commonbirds","114","YES",""
"37","construction","125","YES","construction vehicles"
"38","crawlies","106","YES",""
"39","dairyeggs","180","YES",""
"40","desert","813","YES","desert animals"
"41","desserts","180","YES","cake, cakes, dessert, sweet, sweets"
"42","dinosaurs","142","YES","dino, dinos, dinosaur"
"43","dogs","107","YES","dog, puppies, puppy"
"44","drinks","180","YES","beverage, beverages, drink"
"45","easter","363","YES",""
"46","emergencyvehicles","125","YES","emergency, emergency vehicles"
"47","extreme","106","YES",""
"48","farm","813","YES","farm animal, farm animals"
"49","fastfood","180","YES","fast food, takeout"
"50","fish","107","YES",""
"51","flightlessbirds","114","YES",""
"52","flowers","127","YES","flower"
"53","foliage","127","YES",""
"54","folkinstruments","115","YES",""
"55","forest","813","YES","forest animals, woodland"
"56","formalwear","109","YES",""
"57","fruits","180","YES","fruit"
"58","furniture","167","YES",""
"59","gadgets","244","YES","gadget"
"60","gaming","244","YES","video games, videogames"
"61","gardentools","167","YES","garden, garden tools, gardening"
"62","gemstones","216","YES",""
"63","gym","106","YES",""
"64","halloween","1257","YES","spooky"
"65","hats","109","YES","hat"
"66","helicopters","125","YES",""
"67","historic","112","YES",""
"68","homestyles","112","YES",""
"69","hoofed","813","YES",""
"70","houses","112","YES","home, homes, house"
"71","insectsbase","106","YES",""
"72","jobs","116","YES","career, careers, job, occupation, occupations, profession, professions, work, worker, workers"
"73","jungle","813","YES","jungle animals, safari"
"74","keyboards","115","YES",""
"75","kitchen","167","YES","cookware, kitchenware, utensil, utensils"
"76","knights","124","YES","knight, medieval"
"77","landforms","216","YES",""
"78","landmarks","112","YES","landmark, monuments"
"79","marinemammals","107","YES",""
"80","marsupials","813","YES",""
"81","martialarts","106","YES",""
"82","military","125","YES","military vehicles"
"83","modernbuildings","112","YES",""
"84","money","244","YES","cash, finance"
"85","monsters","124","YES","monster"
"86","morebirds","114","YES",""
"87","morefish","107","YES",""
"88","moreinsects","106","YES",""
"89","moresealife","107","YES",""
"90","mountains","216","YES",""
"91","movies","244","YES","cinema, film, films"
"92","mushroomslist","127","YES",""
"93","musicstuff","115","YES",""
"94","mythical","124","YES","fantasy, legend, legends, myth"
"95","newyear","432","YES","new year"
"96","nocturnal","813","YES",""
"97","office","167","YES","stationery"
"98","othervehicles","125","YES",""
"99","outerwear","109","YES",""
"100","percussion","115","YES",""
"101","petanimals","813","YES","pet, pets"
"102","pirates","119","YES","pirate"
"103","planes","125","YES","aircraft, plane"
"104","planets","127","YES","planet, solar system"
"105","plants","127","YES","plant"
"106","pond","813","YES","pond animals"
"107","prehistoric","142","YES",""
"108","primates","813","YES",""
"109","princesses","124","YES","princess, royal"
"110","racketsports","106","YES",""
"111","reefcreatures","107","YES",""
"112","religious","112","YES",""
"113","reptiles","142","YES","reptile"
"114","retrotech","244","YES",""
"115","robots","127","YES","bot, bots, machine, machines, robot"
"116","rodents","813","YES","rodent"
"117","school","244","YES","classroom"
"118","science","244","YES","biology, chemistry"
"119","scifi","127","YES",""
"120","shapes","121","YES","geometry, shape"
"121","sharks","107","YES",""
"122","shellcreatures","107","YES",""
"123","shellfish","107","YES",""
"124","shoes","109","YES","footwear, shoe"
"125","shorebirds","114","YES",""
"126","sky","216","YES",""
"127","smallmammals","813","YES",""
"128","snacks","180","YES","snack"
"129","songbirds","114","YES","songbird"
"130","spacecraft","127","YES",""
"131","spacepeople","127","YES",""
"132","spacestuff","127","YES",""
"133","spacevehicles","125","YES",""
"134","sportsgear","106","YES",""
"135","sportsmisc","106","YES",""
"136","spring","356","YES",""
"137","strings","115","YES",""
"138","structures","112","YES",""
"139","summer","339","YES",""
"140","swimwear","109","YES",""
"141","symbols","121","YES","icons, symbol"
"142","teamsports","106","YES",""
"143","tech","244","YES","computer, computers, electronics, technology"
"144","thanksgiving","1128","YES",""
"145","tools","167","YES","tool"
"146","tops","109","YES",""
"147","toys","111","YES","toy"
"148","trains","125","YES","train"
"149","travel","1288","YES","tourism, vacation"
"150","trees","127","YES",""
"151","tropicalbirds","114","YES","tropical bird, tropical birds"
"152","trucks","125","YES","truck"
"153","valentines","315","YES","love, valentine"
"154","vegetables","180","YES","veg, vegetable, veggie, veggies"
"155","waterfeatures","216","YES",""
"156","waterfowl","114","YES",""
"157","watersports","106","YES",""
"158","weather","216","YES",""
"159","wildcanines","813","YES",""
"160","wildcats","108","YES",""
"161","wind","115","YES",""
"162","winterseason","1441","YES","winter, winter season"
"163","wintersports","106","YES",""
"164","wizards","124","YES","magic, wizard"
"165","worldfoods","180","YES","cuisine, international, world food, world foods"
